Para actualizar acceder a la siguiente página: https://www.asamblea.go.cr/Centro_de_informacion/Consultas_SIL/SitePages/ConsultaProyectos.aspx,,,
Proyecto de interés,Número de Expediente ,Título de Expediente,Fecha de inicio
FALSE,24480,ADICIÓN DE UN PÁRRAFO FINAL AL ARTÍCULO 188 DE LA CONSTITUCIO´N POLI´TICA PARA OTORGAR AUTONOMÍA ADMINISTRATIVA Y DE GOBIERNO AL BANCO CENTRAL DE COSTA RICA.,05/08/2024
FALSE,24479,LEY DE TRANSPARENCIA DE LOS EXÁMENES DE INCORPORACIÓN A LOS COLEGIOS PROFESIONALES,05/08/2024
FALSE,24478,"LEY CONTRA LA EXTORSIÓN DE PAGO DE PEAJE POR ENTRADA A LOS BARRIOS Y EXTORSIÓN AL COMERCIO, Y PREVENCIÓN DEL INGRESO DE NIÑAS, NIÑOS Y JÓVENES A ORGANIZACIONES DELICTIVAS",05/08/2024
FALSE,24477,"REFORMA DEL ARTÍCULO 28 DEL CÓDIGO PROCESAL CIVIL, LEY N.º 9342, DEL 3 DE FEBRERO DE 2016",31/07/2024
FALSE,24476,"INTERPRETACIÓN AUTÉNTICA DEL INCISO D) DEL ARTÍCULO 10 DE LA LEY N.º 7933, LEY REGULADORA DE LA PROPIEDAD EN CONDOMINIO DEL 28 DE OCTUBRE DE 1999",31/07/2024
FALSE,24475,"LEY PARA DECLARAR COMO PRIORIDAD SANITARIA Y PREVENIR, MITIGAR Y CONTENER LA ENFERMEDAD CONOCIDA COMO HUANGLONGBING (HLB) DE LOS CÍTRICOS, EN TODO EL TERRITORIO COSTARRICENSE",31/07/2024
FALSE,24474,"CONVENIO INTERNACIONAL PARA PREVENIR LA CONTAMINACIÓN POR LOS BUQUES, 1973, PROTOCOLOS I Y II, MODIFICADO POR SUS PROTOCOLOS DE 1978 Y 1997, SUS ANEXOS Y ENMIENDAS",31/07/2024
FALSE,24473,"LEY PARA AUTORIZAR A LA CORPORACIÓN MUNICIPAL DE ALAJUELA PARA QUE DESAFECTE, SEGREGUE Y DONE A LA CAJA COSTARRICENSE DE SEGURO SOCIAL BIENES INMUEBLES DE SU PROPIEDAD",30/07/2024
FALSE,24472,"REFORMA A LOS ARTÍCULOS 11 Y 18 Y ADICIÓN DE UN NUEVO TRANSITORIO A LA LEY DE FUNDACIONES LEY N.° 5338, DE 28 DE AGOSTO DE 1973 Y SUS REFORMAS",30/07/2024
FALSE,24471,"REFORMA Y ADICIÓN DE UNA NUEVO CAPITULO A LA LEY CONTRA LA DELINCUENCIA ORGANIZADA, LEY NO 8754 DEL 22 DE SETIEMBRE DE 2009 Y SUS REFORMAS, PARA DESARTICULAR Y PENALIZAR EL SICARIATO.",30/07/2024
TRUE,24470,LEY PARA LA EXONERACIÓN DE IMPUESTOS Y CONDONACIÓN DE DEUDAS PARA LOS HABITANTES DE LAS COMUNIDADES AFECTADAS POR LAS INUNDACIONES DE 2022 Y 2023,30/07/2024
FALSE,24469,"AUTORIZACIÓN A LA MUNICIPALIDAD DE GOICOECHEA PARA PROMOVER LA DISMINUCIÓN DE LA MOROSIDAD DE SUS CONTRIBUYENTES Y COADYUVAR CON LAS FAMILIAS Y COMERCIANTES EN GENERAL, EN LA ATENCIÓN DE SUS OBLIGACIONES TRIBUTARIAS CON EL MUNICIPIO Y FACILITAR LA RECAUDACIÓN",30/07/2024
